
2	4	24	7.5	9	4-5 2-0 
3	4	24	7.5	9	3-4 0-2 
4	8	48	8.125	10.5	4-5 5-6 2-0 
5	8	48	8.75	12	4-5 3-4 0-2 
6	8	48	8.75	12	4-5 2-3 
7	8	48	9.0625	12.75	5-6 4-5 2-0 
8	8	48	9.0625	12.75	5-6 3-4 0-2 
9	12	72	9.375	13.5	4-5 5-6 3-4 0-2 
10	12	72	9.375	13.5	3-4 2-3 
11	13	78	9.84375	15	5-6 5-6 3-4 0-2 
12	13	78	9.92188	15.375	4-5 3-4 2-3 
13	13	78	10.2344	16.125	5-6 2-3 3-4 
14	13	78	10.625	17.25	5-6 3-4 4-5 0-2 
15	13	78	10.625	17.25	5-6 2-3 4-5 
16	22	132	10.9375	18	3-4 5-6 2-3 
17	22	132	10.9375	18	4-5 5-6 2-3 
18	23	138	11.5234	20.25	4-5 5-6 3-4 2-3 
19	24	144	11.9922	21.75	5-6 5-6 2-3 3-4 
20	19	114	12.0898	22.3125	5-6 3-4 2-3 4-5 
21	25	150	12.5781	24	5-6 5-6 2-3 4-5 
22	26	156	13.3105	27.375	5-6 5-6 3-4 2-3 4-5 
