
2	6	36	9.375	13.5	4-5 1-6 1-1 1-1 
3	6	36	9.375	13.5	4-5 1-2 1-1 
4	11	66	10.1562	15.75	4-5 1-6 5-6 1-1 1-1 
5	11	66	10.9375	18	4-5 1-6 3-4 1-1 1-1 1-1 
6	11	66	10.9375	18	4-5 1-6 2-3 1-1 
7	11	66	11.3281	19.125	4-5 5-6 1-6 1-1 1-1 
8	11	66	11.3281	19.125	4-5 5-6 2-3 1-1 1-1 1-1 
9	16	96	11.7188	20.25	4-5 1-6 5-6 3-4 1-1 1-1 
10	16	96	11.7188	20.25	4-5 1-2 1-6 1-1 1-1 
11	17	102	12.3047	22.5	4-5 5-6 5-6 2-3 1-1 1-1 
12	17	102	12.4023	23.0625	4-5 1-6 1-6 3-4 1-1 1-1 
13	17	102	12.793	24.1875	4-5 5-6 1-6 2-3 1-1 1-1 
14	17	102	13.2812	25.875	4-5 5-6 3-4 1-6 1-1 1-1 
15	17	102	13.2812	25.875	4-5 5-6 2-3 1-6 1-1 1-1 
16	28	168	13.6719	27	4-5 1-2 1-6 5-6 1-1 
17	28	168	13.6719	27	4-5 1-6 5-6 2-3 1-1 
18	29	174	14.4043	30.375	4-5 1-6 1-6 5-6 3-4 1-1 
19	30	180	14.9902	32.625	4-5 5-6 1-6 5-6 2-3 1-1 
20	24	144	15.1123	33.4688	4-5 5-6 1-6 3-4 1-6 1-1 1-1 
21	31	186	15.7227	36	4-5 5-6 5-6 2-3 1-6 1-1 
22	32	192	16.6382	41.0625	4-5 5-6 1-6 5-6 3-4 1-6 1-1 
